Date,Open,High,Low,Close,Adj Close,Volume
01/09/2015,149.90625,150.462677,147.676086,149.108444,149.108444,13448722
02/09/2015,149.046997,150.566147,147.955185,149.839233,149.839233,12260096
03/09/2015,149.865387,150.068619,148.381119,148.913864,148.913864,11459098
04/09/2015,148.934845,152.208298,148.924957,151.811478,151.811478,13818325
05/09/2015,151.746216,155.664474,151.247849,154.923538,154.923538,13626499
06/09/2015,154.825317,160.126572,154.700729,157.862167,157.862167,16766734
07/09/2015,157.924042,158.602036,157.250504,157.070724,157.070724,13878323
08/09/2015,157.070068,159.784821,156.898392,158.248016,158.248016,17460828
09/09/2015,158.123291,158.763229,154.871704,155.117889,155.117889,15393838
10/09/2015,155.227295,156.470398,153.479782,154.47403,154.47403,13742388
11/09/2015,154.378159,156.238022,154.338165,155.630661,155.630661,12460915
12/09/2015,155.467331,155.641693,152.161011,152.468887,152.468887,11642857
13/09/2015,152.47731,152.926498,148.521469,149.256668,149.256668,11965034
14/09/2015,149.319473,151.092041,147.576233,149.545486,149.545486,13614601
15/09/2015,149.44693,168.980316,149.78949,150.113419,150.113419,12500195
16/09/2015,150.078217,150.638474,147.405197,147.695831,147.695831,12987041
17/09/2015,147.686157,148.523056,147.579941,147.645355,147.645355,12165371
18/09/2015,150.029556,149.832489,148.398956,149.967819,149.967819,13030061
19/09/2015,149.892502,150.115875,148.753784,149.01384,149.01384,8183199
20/09/2015,148.953339,149.57515,148.638565,148.938416,148.938416,9304753
21/09/2015,148.941635,148.903275,146.05777,146.459213,146.459213,12691905
22/09/2015,146.384384,150.236618,145.33992,150.249527,150.249527,16293765
23/09/2015,150.456711,151.111328,150.049667,151.054779,151.054779,11317874
24/09/2015,151.103973,154.787842,151.042831,154.021805,154.021805,16482432
25/09/2015,153.912125,156.407776,153.598007,154.903824,154.903824,14732279
26/09/2015,154.859024,155.074432,153.72728,154.374176,154.374176,9040909
27/09/2015,154.241776,154.496704,153.005127,153.129608,153.129608,9328881
28/09/2015,153.18158,157.823273,152.938812,157.73497,157.73497,16300375
29/09/2015,157.651871,158.076462,155.69722,156.20842,156.20842,14975778
30/09/2015,156.177399,156.785599,155.376846,156.134659,156.134659,13058734
01/10/2015,156.097626,157.337524,155.665955,156.963791,156.963791,13538258
02/10/2015,156.775482,157.483994,155.455322,156.309204,156.309204,12962189
03/10/2015,156.249252,157.641129,156.079315,157.255783,157.255783,10857453
04/10/2015,157.124695,157.412552,156.849045,156.91452,156.91452,8560985
05/10/2015,156.840759,158.637238,155.636902,158.637238,158.637238,15400184
06/10/2015,158.624695,162.158524,158.589355,161.628357,161.628357,18086639
07/10/2015,161.698639,161.99173,158.44873,158.668442,158.668442,15019395
